2026-06-27 11:20:09.905 | INFO     | source=cabaprop run=cli-run-cabaprop-9231450f target=-:- | inmob.cli.bronze.runner:_log_traffic_policy:366 - Traffic policy requests_per_minute=20 burst_size=2 retry_policy=exponential-backoff-full-jitter retry_max_attempts=3 retry_initial_delay_seconds=1.0 retry_max_delay_seconds=20.0
2026-06-27 11:20:09.905 | INFO     | source=argenprop run=cli-run-argenprop-363e5066 target=search_results:argenprop-search-argenprop-caba-newest-page-1 | inmob.cli.bronze.runner:_discover_listing_targets:209 - Fetching search page uri=https://www.argenprop.com/departamentos/venta/capital-federal?orden-masnuevos
2026-06-27 11:20:09.905 | INFO     | source=properati run=cli-run-properati-e31d29c9 target=-:- | inmob.cli.bronze.runner:scrape_source:139 - Created ingestion run requested_at=2026-06-27T14:20:09.905633+00:00 target_dir=data/raw
2026-06-27 11:20:09.906 | DEBUG    | source=argenprop run=- target=search_results:argenprop-search-argenprop-caba-newest-page-1 | inmob.ingestion.sources.base:fetch:121 - Creating HTTP client timeout_seconds=30.0 follow_redirects=True
2026-06-27 11:20:09.905 | INFO     | source=zonaprop run=- target=-:- | inmob.cli.bronze.runner:scrape_source:134 - Target page range=[1] page_size=30
2026-06-27 11:20:09.906 | INFO     | source=mudafy run=cli-run-mudafy-c48d503e target=-:- | inmob.cli.bronze.runner:_log_traffic_policy:366 - Traffic policy requests_per_minute=20 burst_size=2 retry_policy=exponential-backoff-full-jitter retry_max_attempts=3 retry_initial_delay_seconds=1.0 retry_max_delay_seconds=20.0
2026-06-27 11:20:09.906 | INFO     | source=cabaprop run=cli-run-cabaprop-9231450f target=api_endpoint:cabaprop-api-search-cabaprop-caba-newest-page-1 | inmob.cli.bronze.runner:_discover_listing_targets:209 - Fetching search page uri=https://cabaprop.com.ar/api/v1/properties/find-properties?offset=0&limit=12&orderBy=created_at&sort=desc
2026-06-27 11:20:09.908 | DEBUG    | source=cabaprop run=- target=api_endpoint:cabaprop-api-search-cabaprop-caba-newest-page-1 | inmob.ingestion.sources.base:fetch:121 - Creating HTTP client timeout_seconds=30.0 follow_redirects=True
2026-06-27 11:20:09.906 | INFO     | source=remax run=cli-run-remax-8a4f2175 target=-:- | inmob.cli.bronze.runner:scrape_source:139 - Created ingestion run requested_at=2026-06-27T14:20:09.906762+00:00 target_dir=data/raw
2026-06-27 11:20:09.906 | INFO     | source=properati run=cli-run-properati-e31d29c9 target=-:- | inmob.cli.bronze.runner:scrape_source:147 - Planned search targets count=1 builder=search_targets
2026-06-27 11:20:09.907 | INFO     | source=zonaprop run=cli-run-zonaprop-d7a6894d target=-:- | inmob.cli.bronze.runner:scrape_source:139 - Created ingestion run requested_at=2026-06-27T14:20:09.907435+00:00 target_dir=data/raw
2026-06-27 11:20:09.907 | INFO     | source=mudafy run=cli-run-mudafy-c48d503e target=search_results:mudafy-search-mudafy-caba-newest-page-1 | inmob.cli.bronze.runner:_discover_listing_targets:209 - Fetching search page uri=https://mudafy.com.ar/venta/propiedades/caba?sort=published_at%3Adesc%3Anulls_last
